OfficerID,OfficerName,BranchID,YearsExperience
OF001,Declan Owusu,BR007,12
OF002,Aoife Byrne,BR007,9
OF003,Ceri Liu,BR008,7
OF004,FATIMA SHEIKH,BR005,14
OF005,Jack Patel,BR003,1
OF006,Cormac Choudhury,BR008,1
OF007,Damian Wong,BR006,9
OF008,Arjun Malik,BR003,11
OF009,Femi Kelly,BR001,14
OF010,Thomas Hassan,BR003,9
OF011,Bilal Walsh,BR005,4
OF012,Amelia Zielinski,BR003,13
OF013,Niamh Nowak,BR001,9
OF014,Chidinma Mensah,BR005,3
OF015,Adaeze Boateng,BR010,7
OF016,George Wallace,BR007,6
OF017,Cian Evans,BR007,8
OF018,Zara Okafor,BR009,11
OF019,Oliver Nwosu,BR010,9
OF020,Leah Osei,BR010,14
OF021,Isla Doyle,BR003,5
OF022,Eilidh Begum,BR007,1
OF023,Emily Hussain,BR001,3
OF024,Faisal Karimi,BR004,10
OF025,Imran Asante,BR004,12
OF026,Harry Tanaka,BR005,8
OF027,Kwame Abara,BR007,15
OF028,Tanya Murray,BR007,11
OF029,Sophie Al-Farsi,BR004,6
OF030,Kofi Rahman,BR007,8
OF031,Raj Khan,BR003,9
OF032,Marcus Adeyemi,BR006,4
OF033,Fraser Chen,BR002,1
OF034,Priya Wojcik,BR010,14
OF035,Siobhan Smith,BR009,1
OF036,Aisha Kaminski,BR005,10
OF037,Freya Iqbal,BR006,4
OF038,Rhys Ahmed,BR004,12
OF039,Sana Diallo,BR010,14
OF040,Shanice Kowalski,BR007,7
