LoanID,CustomerName,Age,Gender,Region,EmploymentSector,MonthlyIncome,BranchID,OfficerID,ProductType,LoanAmount,InterestRate,CreditScoreAtOrigination,TermMonths,DisbursedDate
LN-111866,Eilidh Begum,46,M,Bristol,Self-Employed,1334.0,BR006,OF007,SME,5000.0,8.68,653,35,30/10/2024
LN-103043,Marta Kaminski,40,M,Glasgow,Self-Employed,1975.0,BR005,OF004,Mortgage,78500.0,5.97,654,128,2023-12-26
LN-105456,Marta Hussain,48,F,Birmingham,Self-Employed,3295.0,BR003,OF005,SME,"£10,900",11.86,649,46,12 January 2024
LN-102405,Sana Walsh,40,M,Sheffield,Gig/Freelance,800.0,BR010,OF020,SME,"£5,000",10.37,477,46,2024-07-17
LN-115567,Chidinma Zielinski,46,F,Leeds,Salaried,4770.0,BR004,OF029,Mortgage,517800.0,3.58,531,234,8 February 2024
LN-115244,Kwame Begum,65,M,Leeds,Public Sector,1769.0, BR004 ,OF024,Auto,37800.0,5.74,515,57,2023-10-28
LN-115720,Noor Osei,41,F,Newcastle,Public Sector,1964.0,BR009,OF035,Auto,14400.0,6.95,561,55,01/08/2024
LN-111355,Emily Kelly,43,M,London,Public Sector,2669.0,BR001,OF023,Personal,7300.0,11.09,676,15,23/11/2024
LN-102090,Emily Saleh,31,F,Birmingham,Self-Employed,6817.0,BR003,OF005,Personal,10300.0,11.52,632,12,2024-03-12
LN-111315,Freya Zielinski,38,F,Liverpool,Public Sector,1496.0,BR007,OF027,Mortgage,"£40,000",5.53,590,97,2023-12-08
LN-118344,Isla Zielinski,36,M,Bristol,Public Sector,1288.0,BR006,OF037,SME,5000.0,10.03,683,32,28 December 2024
LN-109926,Priya Osei,23,F,sheffield,Salaried,1771.0,BR010,OF020  ,Auto,14700.0,8.93,616,52,10/12/2023
LN-104496,Imran Kowalski,33,F,Glasgow,Salaried,2679.0,BR005,OF036,Mortgage,"£133,800",5.83,662,255,20/11/2023
LN-109453,Aisha Ahmed,37,M,birmingham,Public Sector,1395.0,BR003,OF012,SME,27700.0,11.41,444,43,2024-07-30
LN-116475,Oliver Campbell,35,F,Bristol,Salaried,2877.0,BR006,OF037,SME,"£5,700",10.95,557,28,27/01/2024
LN-113720,Femi Khan,40,F,Liverpool,Salaried,1684.0,BR007,OF028,SME,6600.0,10.19,631,41,03/02/2024
LN-100119,Priya Abara,43,F,London,Public Sector,2128.0,BR001,OF023,Personal,5300.0,8.82,507,25,07/04/2024
LN-117281,Isla Karimi,40,F,Glasgow,Public Sector,3182.0,BR005,OF011,Auto,27000.0,8.43,613,40,2024-03-19
LN-110608,Arjun Ahmed,47,M,Leeds,Gig/Freelance,920.0,BR004,OF025,Personal,3500.0,12.89,588,12,2024-11-13
LN-101489,Leah Sheikh,25,F,London,Public Sector,2163.0,BR001,OF023,Mortgage,40000.0,4.92,613,95,2024-07-04
LN-104445,Femi Mensah,38,F,Manchester,Salaried,2811.0,BR002,OF033  ,Mortgage,45800.0,3.97,574,180,12/07/2024
LN-105304,Tomasz Choudhury,54,M,Glasgow,Salaried,1544.0,BR005,OF026,Mortgage,93200.0,5.15,572,289,26/10/2024
LN-107654,Wei Evans,41,F,Leeds,Self-Employed,2756.0,BR004,OF038,SME,12500.0,9.2,542,48,21/10/2024
LN-117920,Emily Khan,41,M,liverpool,Self-Employed,2984.0,BR007,OF017,SME,10500.0,8.24,673,57,19 December 2023
LN-112000,Amelia Choudhury,44,M,Leeds,Salaried,1895.0, BR004 ,OF038,Mortgage,83900.0,4.64,687,254,2024-02-25
LN-114131,Adaeze Wallace,52,M,Bristol,Gig/Freelance,3630.0,BR006,OF032,Personal,"£8,200",8.09,579,23,01/11/2024
LN-113268,Eilidh Ahmed,39,M,Birmingham,Self-Employed,1141.0,BR003,OF031,SME,5000.0,7.95,622,43,2024-07-05
LN-116685,Hana Adeyemi,21,M,Bristol,Public Sector,1796.0,BR006,OF007,Mortgage,44000.0,3.99,531,173,11 September 2024
LN-116765,Chidinma Patel,29,M,Birmingham,Gig/Freelance,912.0,BR003,OF005  ,Personal,8100.0,13.06,519,30,21 January 2024
LN-113817,Agnieszka Liu,36,M,Leeds,Salaried,4069.0,BR004,OF024,SME,20200.0,7.55,518,32,2024-02-06
LN-108813,Faisal Lewandowski,34,F,Liverpool,SELF-EMPLOYED,4113.0,BR007,OF030,SME,18400.0,8.57,718,40,2024-10-21
LN-117196,Layla Saleh,30,M,Birmingham,Salaried,1369.0,BR003,OF021,Personal,1300.0,8.77,564,15,2024-10-18
LN-119127,Grzegorz Ahmed,51,F,Manchester,Salaried,2918.0,BR002,OF033,Auto,7900.0,7.57,673,35,18 April 2024
LN-101815,Damian Saleh,42,M,Sheffield,Salaried,1683.0,BR010,OF039,Mortgage,55300.0,4.11,652,275,26/07/2024
LN-111898,Cian Sheikh,38,M,Bristol,Gig/Freelance,836.0,BR006,OF032  ,Mortgage,"£40,000",3.71,585,242,01/04/2024
LN-113465,Noor Hussain,35,F,Liverpool,Self-Employed,3015.0,BR007,OF022,SME,26700.0,7.33,719,56,2023-10-23
LN-109606,Shanice Okafor,38,F,Sheffield,Public Sector,3721.0,BR010,OF020,Mortgage,"£101,200",4.44,597,244,25 February 2024
LN-116423,Niamh Lewandowski,29,F,London,Public Sector,2507.0,BR001,OF023,Mortgage,84800.0,4.77,578,127,2024-02-18
